number,value,datetime_start,datetime_complete,duration,params_DROPOUT,params_EPS,params_KERNEL_1,params_KERNEL_2,params_KERNEL_3,params_LR,params_OUT_CHANNELS_1,params_OUT_CHANNELS_2,params_OUT_CHANNELS_3,params_PADDING_1,params_PADDING_2,params_PADDING_3,params_RNNLAYER,params_RNNSIZE,params_STRIDE_1,params_STRIDE_2,params_STRIDE_3,params_WD,params_hidden1,params_hidden2,params_hidden3,params_poolsize1,params_poolsize2,params_poolsize3,system_attrs_nsga2:generation,state
1,0.00799238582452138,2024-09-18 22:34:56.393833,2024-09-18 22:37:15.542900,0 days 00:02:19.149067,0.2,0.00000001,20,35,35,0.0001,32,8,8,0,2,2,2,32,2,1,2,0.0001,128,128,128,4,1,4,0,COMPLETE
2,0.00700821973649519,2024-08-27 21:17:54.001141,2024-08-27 21:30:09.556330,0 days 00:12:15.555189,0,0.00000001,25,35,20,0.001,64,8,0,3,2,0,4,8,1,1,3,0.1,2048,256,0,4,4,1,0,COMPLETE
3,0.00697278780862689,2024-09-18 23:29:04.984752,2024-09-18 23:35:53.102783,0 days 00:06:48.118031,0.4,0.00000001,25,25,40,0.00001,64,8,8,1,0,1,4,32,1,3,1,0.0001,128,256,128,4,1,4,0,COMPLETE
4,0.00723748945941528,2024-09-18 23:35:53.411936,2024-09-19 00:00:34.864657,0 days 00:24:41.452721,0.3,0.00000001,10,30,35,0.0001,32,4,4,1,1,2,4,32,2,1,1,0.000001,256,128,32,2,1,2,0,COMPLETE
5,0.00803347624217471,2024-09-19 00:05:26.074941,2024-09-19 00:09:49.904928,0 days 00:04:23.829987,0.5,0.00000001,20,35,45,0.0001,32,16,16,0,1,0,4,64,2,1,2,0.000001,128,128,64,4,1,4,0,COMPLETE
6,0.00729511560251315,2024-09-19 19:17:11.479151,2024-09-19 19:34:11.248218,0 days 00:16:59.769067,0.3,0.00000001,25,25,55,0.00001,16,8,8,0,2,1,3,64,1,2,2,0.000001,512,512,256,2,1,4,0,COMPLETE
7,0.00745274825021625,2024-09-19 22:15:35.365769,2024-09-19 22:17:42.869696,0 days 00:02:07.503927,0.4,0.00000001,15,35,50,0.00001,16,8,8,2,1,3,2,64,1,1,3,0.0001,256,256,0,4,4,1,0,COMPLETE
8,0.0073341924076279,2024-09-20 00:27:26.286197,2024-09-20 00:55:37.727826,0 days 00:28:11.441629,0.4,0.00000001,15,25,60,0.0001,32,4,4,2,1,3,4,16,1,3,2,0.000001,512,256,0,2,1,1,0,COMPLETE
9,0.0065907461879154,2024-09-20 01:20:00.027385,2024-09-20 01:24:57.592264,0 days 00:04:57.564879,0.2,0.00000001,15,25,35,0.0001,16,8,8,0,0,2,3,8,1,2,1,0.000001,128,256,128,4,2,1,0,COMPLETE
10,0.00742227663951261,2024-08-28 01:30:17.367483,2024-08-28 01:41:07.155300,0 days 00:10:49.787817,0.5,0.00000001,20,25,45,0.001,32,4,0,0,3,1,2,8,2,1,1,0.1,256,128,32,2,2,4,0,COMPLETE
11,0.00724417796092374,2024-08-27 20:20:29.234223,2024-08-27 20:40:03.315567,0 days 00:19:34.081344,0,0.00000001,15,35,30,0.001,16,32,0,2,1,0,3,8,1,1,2,0.00001,512,512,128,2,4,1,0,COMPLETE
12,0.00687605219094881,2024-08-27 21:13:38.591173,2024-08-27 21:17:27.307409,0 days 00:03:48.716236,0.3,0.00000001,10,15,40,0.01,64,8,8,3,2,3,2,16,2,1,2,0.00001,512,512,64,2,2,4,0,COMPLETE
3,0.0163842947887523,2024-10-08 15:48:30.082,2024-10-08 16:00:15.932,0 days 00:11:45.849441,0.4,0.00000001,5,35,45,0.00001,64,8,8,0,2,2,4,8,3,1,1,0.0001,1024,128,32,2,1,1,0,COMPLETE
40,0.0149062084300177,2024-10-08 16:00:15.993,2024-10-08 16:01:33.819,0 days 00:01:17.826162,0.4,0.00000001,20,35,40,0.00001,32,8,8,0,3,0,4,32,2,3,2,0.000001,256,256,0,2,2,1,0,COMPLETE
74,0.0149079710245132,2024-10-08 16:01:33.877,2024-10-08 16:02:58.933,0 days 00:01:25.055569,0.3,0.00000001,25,35,50,0.0001,16,8,8,1,2,1,2,64,1,3,1,0.000001,1024,512,128,4,1,4,0,COMPLETE
90,0.0151926980220846,2024-10-08 16:02:58.959,2024-10-08 16:13:46.560,0 days 00:10:47.600879,0.4,0.00000001,15,25,50,0.0001,64,2,2,2,1,0,3,32,3,1,1,0.000001,128,64,32,2,1,1,0,COMPLETE
381,0.0163371986044305,2024-10-08 16:17:13.470,2024-10-08 16:25:40.623,0 days 00:08:27.153045,0.5,0.00000001,20,25,50,0.0001,64,8,8,0,3,2,4,64,2,1,2,0.0001,128,64,256,2,1,4,0,COMPLETE
